,회사,양
246,Kirikkale Refinery (Tüpraş),"112,500 bbl/d (17,890 m3/d)"
247,Izmit Refinery (Tüpraş),"226,000 bbl/d (35,900 m3/d)"
248,Aliaga Refinery (Tüpraş),"200,000 bbl/d (32,000 m3/d)"
249,Batman Refinery (Tüpraş),"22,000 bbl/d (3,500 m3/d)"
250,Doğu Akdeniz Petrol Refinery (Çalık Holding),(under construction)
251,ATAŞ (Refinery),(BP-Royal Dutch Shell-Turcas
252,"Seidi, 120,000 bbl/d (19,000 m3/d)",값 따로 넣어주기
253,"Turkmenbashi, 116,000 bbl/d (18,400 m3/d)",값 따로 넣어주기
254,Abu Dhabi Refinery (Abu Dhabi Oil Refining Company),"85,000 bbl/d (13,500 m3/d)"
255,Fujairah Refinery (VITOL Group),"80,000 bbl/d (13,000 m3/d)"
256,Uniper - Fujairah (heavy crude oil flashers),값 따로 넣어주기
257,Ruwais Refinery (Abu Dhabi Oil Refining Company),"817,000 bbl/d (129,900 m3/d) - 2 refineries"
258,Jebel Ali Refinery ([ENOC]),"140,000 bbl/d (22,000 m3/d)"
259,Al Nakheel Oil Refinery ([ANOR]),(closed)
260,Dung Quat Refinery (Petrovietnam),"148,000 bbl/d (23,500 m3/d)"
261,Nghi Sơn Refinery (Nghi Son Refinery and Petrochemical LLC),"200,000 bbl/d (32,000 m3/d)"
262,Aden Refinery (Aden Refinery Company),"120,000 bbl/d (19,000 m3/d)"
263,Marib Refinery (Hunt Oil Company),"10,000 bbl/d (1,600 m3/d)"
264,Ballsh Refinery (ARMO Oil Refiner),"20,000 bbl/d (3,200 m3/d)"
265,Fier Refinery (ARMO Oil Refiner),"10,000 bbl/d (1,600 m3/d)"
266,"Bitex Refinery, Elbasan, Albania, 3,750 bbl/d (596 m3/d)",값 따로 넣어주기
267,Schwechat Refinery (OMV),"176,000 bbl/d (28,000 m3/d)"
268,Haydar Aliyev Refinery (SOCAR),"160,000 bbl/d (25,000 m3/d)"
269,Azerneftyag Refinery (SOCAR),"239,000 bbl/d (38,000 m3/d)"
270,"Bosanski Brod Refinery Nestro, a subsidiary of JSC Zarubezhneft (Russia)","1.5 million tons/annum & 30,000 bbl/day"
271,"Mozyr Refinery (Slavneft)[34] 95,000 bbl/d (15,100 m3/d)",값 따로 넣어주기
272,Novopolotsk Refinery (Naftan)[35],값 따로 넣어주기
273,Total Antwerp Refinery (Total),"360,000 bbl/d (57,000 m3/d)"
274,ExxonMobil Antwerp Refinery (ExxonMobil),"333,000 bbl/d (52,900 m3/d)"
275,Antwerp N.V. Refinery (Vitol),"35,000 bbl/d (5,600 m3/d)"
276,"Independent Belgian Refinery, Antwerp (Gunvor)"," 115,000 bbl/d (18,300 m3/d)"
